date,NFLX,isPartial
2018-06-03,18,False
2018-06-10,25,False
2018-06-17,36,False
2018-06-24,34,False
2018-07-01,22,False
2018-07-08,32,False
2018-07-15,100,False
2018-07-22,33,False
2018-07-29,34,False
2018-08-05,25,False
2018-08-12,26,False
2018-08-19,31,False
2018-08-26,28,False
2018-09-02,21,False
2018-09-09,22,False
2018-09-16,22,False
2018-09-23,22,False
2018-09-30,22,False
2018-10-07,31,False
2018-10-14,61,False
2018-10-21,30,False
2018-10-28,31,False
2018-11-04,27,False
2018-11-11,23,False
2018-11-18,20,False
2018-11-25,22,False
2018-12-02,18,False
2018-12-09,21,False
2018-12-16,19,False
2018-12-23,17,False
2018-12-30,23,False
2019-01-06,34,False
2019-01-13,67,False
2019-01-20,25,False
2019-01-27,22,False
2019-02-03,19,False
2019-02-10,16,False
2019-02-17,15,False
2019-02-24,15,False
2019-03-03,16,False
2019-03-10,15,False
2019-03-17,18,False
2019-03-24,16,False
2019-03-31,14,False
2019-04-07,20,False
2019-04-14,38,False
2019-04-21,22,False
2019-04-28,16,False
2019-05-05,15,False
2019-05-12,16,False
2019-05-19,10,False
2019-05-26,9,False
2019-06-02,12,False
2019-06-09,11,False
2019-06-16,15,False
2019-06-23,12,False
2019-06-30,11,False
2019-07-07,14,False
2019-07-14,49,False
2019-07-21,26,False
2019-07-28,14,False
2019-08-04,18,False
2019-08-11,15,False
2019-08-18,15,False
2019-08-25,13,False
2019-09-01,10,False
2019-09-08,16,False
2019-09-15,15,False
2019-09-22,20,False
2019-09-29,13,False
2019-10-06,12,False
2019-10-13,37,False
2019-10-20,15,False
2019-10-27,12,False
2019-11-03,10,False
2019-11-10,12,False
2019-11-17,12,False
2019-11-24,9,False
2019-12-01,8,False
2019-12-08,11,False
2019-12-15,16,False
2019-12-22,8,False
2019-12-29,8,False
2020-01-05,11,False
2020-01-12,13,False
2020-01-19,32,False
2020-01-26,12,False
2020-02-02,14,False
2020-02-09,11,False
2020-02-16,11,False
2020-02-23,15,False
2020-03-01,12,False
2020-03-08,17,False
2020-03-15,18,False
2020-03-22,17,False
2020-03-29,13,False
2020-04-05,13,False
2020-04-12,28,False
2020-04-19,51,False
2020-04-26,20,False
2020-05-03,13,False
2020-05-10,11,False
2020-05-17,12,False
2020-05-24,13,False
2020-05-31,9,False
2020-06-07,13,False
2020-06-14,11,False
2020-06-21,11,False
2020-06-28,9,False
2020-07-05,16,False
2020-07-12,57,False
2020-07-19,22,False
2020-07-26,14,False
2020-08-02,14,False
2020-08-09,14,False
2020-08-16,11,False
2020-08-23,17,False
2020-08-30,14,False
2020-09-06,12,False
2020-09-13,15,False
2020-09-20,9,False
2020-09-27,9,False
2020-10-04,9,False
2020-10-11,11,False
2020-10-18,27,False
2020-10-25,11,False
2020-11-01,8,False
2020-11-08,13,False
2020-11-15,8,False
2020-11-22,8,False
2020-11-29,10,False
2020-12-06,8,False
2020-12-13,9,False
2020-12-20,7,False
2020-12-27,6,False
2021-01-03,7,False
2021-01-10,9,False
2021-01-17,29,False
2021-01-24,13,False
2021-01-31,9,False
2021-02-07,8,False
2021-02-14,5,False
2021-02-21,7,False
2021-02-28,6,False
2021-03-07,7,False
2021-03-14,5,False
2021-03-21,6,False
2021-03-28,4,False
2021-04-04,5,False
2021-04-11,5,False
2021-04-18,28,False
2021-04-25,9,False
2021-05-02,6,False
2021-05-09,6,False
2021-05-16,7,False
2021-05-23,5,False
2021-05-30,5,False
2021-06-06,5,False
2021-06-13,6,False
2021-06-20,7,False
2021-06-27,5,False
2021-07-04,6,False
2021-07-11,7,False
2021-07-18,14,False
2021-07-25,6,False
2021-08-01,5,False
2021-08-08,4,True
