date,PM,isPartial
2019-02-17,23,False
2019-02-24,25,False
2019-03-03,22,False
2019-03-10,21,False
2019-03-17,21,False
2019-03-24,22,False
2019-03-31,20,False
2019-04-07,21,False
2019-04-14,19,False
2019-04-21,21,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,19,False
2019-05-19,28,False
2019-05-26,29,False
2019-06-02,23,False
2019-06-09,22,False
2019-06-16,22,False
2019-06-23,21,False
2019-06-30,20,False
2019-07-07,19,False
2019-07-14,21,False
2019-07-21,23,False
2019-07-28,22,False
2019-08-04,22,False
2019-08-11,22,False
2019-08-18,22,False
2019-08-25,22,False
2019-09-01,23,False
2019-09-08,21,False
2019-09-15,24,False
2019-09-22,27,False
2019-09-29,27,False
2019-10-06,27,False
2019-10-13,30,False
2019-10-20,29,False
2019-10-27,28,False
2019-11-03,30,False
2019-11-10,26,False
2019-11-17,28,False
2019-11-24,30,False
2019-12-01,30,False
2019-12-08,30,False
2019-12-15,30,False
2019-12-22,29,False
2019-12-29,39,False
2020-01-05,44,False
2020-01-12,36,False
2020-01-19,37,False
2020-01-26,35,False
2020-02-02,34,False
2020-02-09,34,False
2020-02-16,35,False
2020-02-23,37,False
2020-03-01,37,False
2020-03-08,34,False
2020-03-15,40,False
2020-03-22,46,False
2020-03-29,72,False
2020-04-05,92,False
2020-04-12,79,False
2020-04-19,62,False
2020-04-26,54,False
2020-05-03,53,False
2020-05-10,59,False
2020-05-17,52,False
2020-05-24,50,False
2020-05-31,50,False
2020-06-07,49,False
2020-06-14,48,False
2020-06-21,46,False
2020-06-28,46,False
2020-07-05,45,False
2020-07-12,44,False
2020-07-19,47,False
2020-07-26,56,False
2020-08-02,65,False
2020-08-09,98,False
2020-08-16,65,False
2020-08-23,58,False
2020-08-30,50,False
2020-09-06,46,False
2020-09-13,46,False
2020-09-20,46,False
2020-09-27,45,False
2020-10-04,42,False
2020-10-11,41,False
2020-10-18,40,False
2020-10-25,37,False
2020-11-01,36,False
2020-11-08,44,False
2020-11-15,43,False
2020-11-22,42,False
2020-11-29,50,False
2020-12-06,51,False
2020-12-13,51,False
2020-12-20,100,False
2020-12-27,79,False
2021-01-03,55,False
2021-01-10,45,False
2021-01-17,42,False
2021-01-24,39,False
2021-01-31,40,False
2021-02-07,38,False
2021-02-14,37,False
2021-02-21,37,False
2021-02-28,37,False
2021-03-07,37,False
2021-03-14,40,False
2021-03-21,42,False
2021-03-28,46,False
2021-04-04,46,False
2021-04-11,42,False
2021-04-18,46,False
2021-04-25,43,False
2021-05-02,45,False
2021-05-09,92,False
2021-05-16,75,False
2021-05-23,47,False
2021-05-30,42,False
2021-06-06,40,False
2021-06-13,40,False
2021-06-20,36,False
2021-06-27,37,False
2021-07-04,36,False
2021-07-11,36,False
2021-07-18,36,False
2021-07-25,37,False
2021-08-01,45,False
2021-08-08,86,True
