date,VRSK,isPartial
2018-09-02,12,False
2018-09-09,58,False
2018-09-16,12,False
2018-09-23,12,False
2018-09-30,12,False
2018-10-07,47,False
2018-10-14,24,False
2018-10-21,70,False
2018-10-28,47,False
2018-11-04,23,False
2018-11-11,12,False
2018-11-18,12,False
2018-11-25,23,False
2018-12-02,58,False
2018-12-09,24,False
2018-12-16,72,False
2018-12-23,26,False
2018-12-30,13,False
2019-01-06,23,False
2019-01-13,46,False
2019-01-20,11,False
2019-01-27,34,False
2019-02-03,23,False
2019-02-10,34,False
2019-02-17,80,False
2019-02-24,34,False
2019-03-03,35,False
2019-03-10,23,False
2019-03-17,58,False
2019-03-24,12,False
2019-03-31,46,False
2019-04-07,35,False
2019-04-14,24,False
2019-04-21,0,False
2019-04-28,35,False
2019-05-05,23,False
2019-05-12,12,False
2019-05-19,34,False
2019-05-26,34,False
2019-06-02,11,False
2019-06-09,22,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,12,False
2019-07-07,45,False
2019-07-14,0,False
2019-07-21,36,False
2019-07-28,59,False
2019-08-04,35,False
2019-08-11,81,False
2019-08-18,23,False
2019-08-25,68,False
2019-09-01,45,False
2019-09-08,11,False
2019-09-15,22,False
2019-09-22,43,False
2019-09-29,44,False
2019-10-06,22,False
2019-10-13,32,False
2019-10-20,21,False
2019-10-27,65,False
2019-11-03,32,False
2019-11-10,64,False
2019-11-17,54,False
2019-11-24,0,False
2019-12-01,54,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,35,False
2019-12-29,34,False
2020-01-05,63,False
2020-01-12,70,False
2020-01-19,31,False
2020-01-26,31,False
2020-02-02,21,False
2020-02-09,40,False
2020-02-16,10,False
2020-02-23,49,False
2020-03-01,29,False
2020-03-08,39,False
2020-03-15,28,False
2020-03-22,46,False
2020-03-29,55,False
2020-04-05,19,False
2020-04-12,19,False
2020-04-19,18,False
2020-04-26,18,False
2020-05-03,27,False
2020-05-10,9,False
2020-05-17,28,False
2020-05-24,38,False
2020-05-31,46,False
2020-06-07,19,False
2020-06-14,57,False
2020-06-21,29,False
2020-06-28,39,False
2020-07-05,20,False
2020-07-12,20,False
2020-07-19,20,False
2020-07-26,31,False
2020-08-02,30,False
2020-08-09,20,False
2020-08-16,0,False
2020-08-23,20,False
2020-08-30,29,False
2020-09-06,58,False
2020-09-13,10,False
2020-09-20,29,False
2020-09-27,20,False
2020-10-04,30,False
2020-10-11,73,False
2020-10-18,52,False
2020-10-25,0,False
2020-11-01,29,False
2020-11-08,10,False
2020-11-15,31,False
2020-11-22,21,False
2020-11-29,10,False
2020-12-06,10,False
2020-12-13,31,False
2020-12-20,56,False
2020-12-27,11,False
2021-01-03,20,False
2021-01-10,0,False
2021-01-17,10,False
2021-01-24,10,False
2021-01-31,20,False
2021-02-07,30,False
2021-02-14,20,False
2021-02-21,100,False
2021-02-28,61,False
2021-03-07,10,False
2021-03-14,10,False
2021-03-21,30,False
2021-03-28,11,False
2021-04-04,10,False
2021-04-11,31,False
2021-04-18,21,False
2021-04-25,40,False
2021-05-02,61,False
2021-05-09,21,False
2021-05-16,10,False
2021-05-23,63,False
2021-05-30,41,False
2021-06-06,0,False
2021-06-13,21,False
2021-06-20,21,False
2021-06-27,10,False
2021-07-04,43,False
2021-07-11,11,False
2021-07-18,44,False
2021-07-25,74,False
2021-08-01,32,False
2021-08-08,37,True
