date,KMI,isPartial
2018-10-28,34,False
2018-11-04,31,False
2018-11-11,27,False
2018-11-18,28,False
2018-11-25,31,False
2018-12-02,35,False
2018-12-09,30,False
2018-12-16,27,False
2018-12-23,28,False
2018-12-30,29,False
2019-01-06,34,False
2019-01-13,38,False
2019-01-20,59,False
2019-01-27,69,False
2019-02-03,33,False
2019-02-10,28,False
2019-02-17,28,False
2019-02-24,36,False
2019-03-03,43,False
2019-03-10,49,False
2019-03-17,34,False
2019-03-24,33,False
2019-03-31,37,False
2019-04-07,47,False
2019-04-14,37,False
2019-04-21,51,False
2019-04-28,50,False
2019-05-05,51,False
2019-05-12,44,False
2019-05-19,55,False
2019-05-26,51,False
2019-06-02,77,False
2019-06-09,67,False
2019-06-16,67,False
2019-06-23,61,False
2019-06-30,41,False
2019-07-07,53,False
2019-07-14,57,False
2019-07-21,88,False
2019-07-28,49,False
2019-08-04,53,False
2019-08-11,63,False
2019-08-18,35,False
2019-08-25,49,False
2019-09-01,40,False
2019-09-08,35,False
2019-09-15,34,False
2019-09-22,41,False
2019-09-29,38,False
2019-10-06,38,False
2019-10-13,34,False
2019-10-20,35,False
2019-10-27,31,False
2019-11-03,29,False
2019-11-10,32,False
2019-11-17,28,False
2019-11-24,25,False
2019-12-01,33,False
2019-12-08,36,False
2019-12-15,27,False
2019-12-22,27,False
2019-12-29,24,False
2020-01-05,22,False
2020-01-12,30,False
2020-01-19,30,False
2020-01-26,29,False
2020-02-02,41,False
2020-02-09,55,False
2020-02-16,42,False
2020-02-23,49,False
2020-03-01,36,False
2020-03-08,40,False
2020-03-15,29,False
2020-03-22,30,False
2020-03-29,32,False
2020-04-05,37,False
2020-04-12,44,False
2020-04-19,37,False
2020-04-26,44,False
2020-05-03,37,False
2020-05-10,37,False
2020-05-17,46,False
2020-05-24,37,False
2020-05-31,54,False
2020-06-07,59,False
2020-06-14,66,False
2020-06-21,66,False
2020-06-28,56,False
2020-07-05,52,False
2020-07-12,48,False
2020-07-19,52,False
2020-07-26,56,False
2020-08-02,55,False
2020-08-09,100,False
2020-08-16,63,False
2020-08-23,55,False
2020-08-30,45,False
2020-09-06,36,False
2020-09-13,39,False
2020-09-20,47,False
2020-09-27,42,False
2020-10-04,39,False
2020-10-11,33,False
2020-10-18,34,False
2020-10-25,30,False
2020-11-01,28,False
2020-11-08,30,False
2020-11-15,31,False
2020-11-22,27,False
2020-11-29,29,False
2020-12-06,32,False
2020-12-13,29,False
2020-12-20,41,False
2020-12-27,41,False
2021-01-03,38,False
2021-01-10,49,False
2021-01-17,38,False
2021-01-24,44,False
2021-01-31,52,False
2021-02-07,59,False
2021-02-14,39,False
2021-02-21,33,False
2021-02-28,34,False
2021-03-07,44,False
2021-03-14,37,False
2021-03-21,43,False
2021-03-28,42,False
2021-04-04,52,False
2021-04-11,42,False
2021-04-18,36,False
2021-04-25,50,False
2021-05-02,68,False
2021-05-09,74,False
2021-05-16,68,False
2021-05-23,54,False
2021-05-30,68,False
2021-06-06,41,False
2021-06-13,76,False
2021-06-20,63,False
2021-06-27,71,False
2021-07-04,71,False
2021-07-11,61,False
2021-07-18,55,False
2021-07-25,66,False
2021-08-01,64,False
2021-08-08,47,True
