date,DLR,isPartial
2019-07-07,49,False
2019-07-14,47,False
2019-07-21,46,False
2019-07-28,41,False
2019-08-04,52,False
2019-08-11,43,False
2019-08-18,45,False
2019-08-25,45,False
2019-09-01,49,False
2019-09-08,52,False
2019-09-15,53,False
2019-09-22,51,False
2019-09-29,49,False
2019-10-06,49,False
2019-10-13,59,False
2019-10-20,45,False
2019-10-27,43,False
2019-11-03,48,False
2019-11-10,47,False
2019-11-17,47,False
2019-11-24,44,False
2019-12-01,43,False
2019-12-08,42,False
2019-12-15,43,False
2019-12-22,30,False
2019-12-29,36,False
2020-01-05,42,False
2020-01-12,46,False
2020-01-19,48,False
2020-01-26,40,False
2020-02-02,50,False
2020-02-09,51,False
2020-02-16,46,False
2020-02-23,44,False
2020-03-01,50,False
2020-03-08,44,False
2020-03-15,33,False
2020-03-22,24,False
2020-03-29,27,False
2020-04-05,26,False
2020-04-12,27,False
2020-04-19,27,False
2020-04-26,27,False
2020-05-03,26,False
2020-05-10,28,False
2020-05-17,23,False
2020-05-24,33,False
2020-05-31,29,False
2020-06-07,32,False
2020-06-14,35,False
2020-06-21,32,False
2020-06-28,34,False
2020-07-05,24,False
2020-07-12,36,False
2020-07-19,34,False
2020-07-26,30,False
2020-08-02,35,False
2020-08-09,32,False
2020-08-16,31,False
2020-08-23,31,False
2020-08-30,29,False
2020-09-06,31,False
2020-09-13,27,False
2020-09-20,31,False
2020-09-27,30,False
2020-10-04,37,False
2020-10-11,28,False
2020-10-18,28,False
2020-10-25,24,False
2020-11-01,28,False
2020-11-08,31,False
2020-11-15,29,False
2020-11-22,27,False
2020-11-29,27,False
2020-12-06,33,False
2020-12-13,25,False
2020-12-20,18,False
2020-12-27,20,False
2021-01-03,28,False
2021-01-10,27,False
2021-01-17,28,False
2021-01-24,31,False
2021-01-31,34,False
2021-02-07,34,False
2021-02-14,34,False
2021-02-21,28,False
2021-02-28,28,False
2021-03-07,27,False
2021-03-14,29,False
2021-03-21,27,False
2021-03-28,22,False
2021-04-04,28,False
2021-04-11,32,False
2021-04-18,27,False
2021-04-25,29,False
2021-05-02,29,False
2021-05-09,28,False
2021-05-16,32,False
2021-05-23,32,False
2021-05-30,29,False
2021-06-06,37,False
2021-06-13,36,False
2021-06-20,31,False
2021-06-27,35,False
2021-07-04,29,False
2021-07-11,28,False
2021-07-18,30,False
2021-07-25,36,False
2021-08-01,33,False
2021-08-08,35,True
