date,JNPR,isPartial
2018-07-15,29,False
2018-07-22,48,False
2018-07-29,45,False
2018-08-05,28,False
2018-08-12,20,False
2018-08-19,37,False
2018-08-26,42,False
2018-09-02,33,False
2018-09-09,30,False
2018-09-16,14,False
2018-09-23,49,False
2018-09-30,41,False
2018-10-07,30,False
2018-10-14,11,False
2018-10-21,27,False
2018-10-28,33,False
2018-11-04,35,False
2018-11-11,11,False
2018-11-18,41,False
2018-11-25,22,False
2018-12-02,27,False
2018-12-09,28,False
2018-12-16,20,False
2018-12-23,15,False
2018-12-30,21,False
2019-01-06,25,False
2019-01-13,19,False
2019-01-20,21,False
2019-01-27,35,False
2019-02-03,13,False
2019-02-10,35,False
2019-02-17,27,False
2019-02-24,26,False
2019-03-03,27,False
2019-03-10,19,False
2019-03-17,22,False
2019-03-24,30,False
2019-03-31,19,False
2019-04-07,14,False
2019-04-14,31,False
2019-04-21,44,False
2019-04-28,25,False
2019-05-05,19,False
2019-05-12,24,False
2019-05-19,8,False
2019-05-26,16,False
2019-06-02,32,False
2019-06-09,5,False
2019-06-16,22,False
2019-06-23,19,False
2019-06-30,11,False
2019-07-07,24,False
2019-07-14,11,False
2019-07-21,34,False
2019-07-28,30,False
2019-08-04,11,False
2019-08-11,14,False
2019-08-18,29,False
2019-08-25,19,False
2019-09-01,18,False
2019-09-08,36,False
2019-09-15,26,False
2019-09-22,20,False
2019-09-29,15,False
2019-10-06,18,False
2019-10-13,18,False
2019-10-20,32,False
2019-10-27,5,False
2019-11-03,25,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,17,False
2019-12-01,20,False
2019-12-08,10,False
2019-12-15,13,False
2019-12-22,25,False
2019-12-29,18,False
2020-01-05,22,False
2020-01-12,14,False
2020-01-19,17,False
2020-01-26,46,False
2020-02-02,19,False
2020-02-09,21,False
2020-02-16,9,False
2020-02-23,35,False
2020-03-01,25,False
2020-03-08,27,False
2020-03-15,24,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,29,False
2020-04-12,35,False
2020-04-19,17,False
2020-04-26,39,False
2020-05-03,30,False
2020-05-10,20,False
2020-05-17,11,False
2020-05-24,7,False
2020-05-31,24,False
2020-06-07,11,False
2020-06-14,20,False
2020-06-21,11,False
2020-06-28,25,False
2020-07-05,21,False
2020-07-12,9,False
2020-07-19,34,False
2020-07-26,17,False
2020-08-02,42,False
2020-08-09,12,False
2020-08-16,21,False
2020-08-23,23,False
2020-08-30,20,False
2020-09-06,9,False
2020-09-13,14,False
2020-09-20,14,False
2020-09-27,7,False
2020-10-04,25,False
2020-10-11,20,False
2020-10-18,0,False
2020-10-25,27,False
2020-11-01,23,False
2020-11-08,17,False
2020-11-15,10,False
2020-11-22,7,False
2020-11-29,7,False
2020-12-06,17,False
2020-12-13,22,False
2020-12-20,18,False
2020-12-27,3,False
2021-01-03,31,False
2021-01-10,17,False
2021-01-17,24,False
2021-01-24,31,False
2021-01-31,26,False
2021-02-07,24,False
2021-02-14,31,False
2021-02-21,12,False
2021-02-28,12,False
2021-03-07,29,False
2021-03-14,22,False
2021-03-21,14,False
2021-03-28,27,False
2021-04-04,19,False
2021-04-11,7,False
2021-04-18,29,False
2021-04-25,16,False
2021-05-02,10,False
2021-05-09,20,False
2021-05-16,19,False
2021-05-23,17,False
2021-05-30,17,False
2021-06-06,22,False
2021-06-13,15,False
2021-06-20,7,False
2021-06-27,20,False
2021-07-04,8,False
2021-07-11,17,False
2021-07-18,8,False
2021-07-25,20,False
2021-08-01,15,False
2021-08-08,17,True
