date,BF.B,isPartial
2019-10-20,22,False
2019-10-27,45,False
2019-11-03,0,False
2019-11-10,22,False
2019-11-17,0,False
2019-11-24,22,False
2019-12-01,66,False
2019-12-08,22,False
2019-12-15,90,False
2019-12-22,0,False
2019-12-29,23,False
2020-01-05,0,False
2020-01-12,41,False
2020-01-19,21,False
2020-01-26,0,False
2020-02-02,21,False
2020-02-09,41,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,0,False
2020-03-08,60,False
2020-03-15,20,False
2020-03-22,57,False
2020-03-29,38,False
2020-04-05,39,False
2020-04-12,38,False
2020-04-19,19,False
2020-04-26,0,False
2020-05-03,19,False
2020-05-10,39,False
2020-05-17,19,False
2020-05-24,20,False
2020-05-31,76,False
2020-06-07,39,False
2020-06-14,20,False
2020-06-21,0,False
2020-06-28,20,False
2020-07-05,62,False
2020-07-12,0,False
2020-07-19,0,False
2020-07-26,0,False
2020-08-02,0,False
2020-08-09,62,False
2020-08-16,20,False
2020-08-23,20,False
2020-08-30,0,False
2020-09-06,100,False
2020-09-13,20,False
2020-09-20,0,False
2020-09-27,20,False
2020-10-04,0,False
2020-10-11,22,False
2020-10-18,21,False
2020-10-25,42,False
2020-11-01,20,False
2020-11-08,0,False
2020-11-15,42,False
2020-11-22,0,False
2020-11-29,21,False
2020-12-06,0,False
2020-12-13,21,False
2020-12-20,0,False
2020-12-27,0,False
2021-01-03,0,False
2021-01-10,21,False
2021-01-17,42,False
2021-01-24,42,False
2021-01-31,42,False
2021-02-07,0,False
2021-02-14,0,False
2021-02-21,41,False
2021-02-28,42,False
2021-03-07,21,False
2021-03-14,0,False
2021-03-21,21,False
2021-03-28,22,False
2021-04-04,63,False
2021-04-11,21,False
2021-04-18,0,False
2021-04-25,21,False
2021-05-02,21,False
2021-05-09,22,False
2021-05-16,21,False
2021-05-23,0,False
2021-05-30,43,False
2021-06-06,21,False
2021-06-13,43,False
2021-06-20,22,False
2021-06-27,0,False
2021-07-04,22,False
2021-07-11,22,False
2021-07-18,0,False
2021-07-25,44,False
2021-08-01,0,False
2021-08-08,25,True
