date,DXC,isPartial
2019-04-07,30,False
2019-04-14,25,False
2019-04-21,31,False
2019-04-28,28,False
2019-05-05,39,False
2019-05-12,31,False
2019-05-19,36,False
2019-05-26,40,False
2019-06-02,32,False
2019-06-09,37,False
2019-06-16,38,False
2019-06-23,36,False
2019-06-30,33,False
2019-07-07,39,False
2019-07-14,32,False
2019-07-21,34,False
2019-07-28,36,False
2019-08-04,37,False
2019-08-11,48,False
2019-08-18,44,False
2019-08-25,36,False
2019-09-01,33,False
2019-09-08,46,False
2019-09-15,42,False
2019-09-22,42,False
2019-09-29,41,False
2019-10-06,35,False
2019-10-13,36,False
2019-10-20,39,False
2019-10-27,34,False
2019-11-03,36,False
2019-11-10,51,False
2019-11-17,41,False
2019-11-24,34,False
2019-12-01,39,False
2019-12-08,41,False
2019-12-15,30,False
2019-12-22,19,False
2019-12-29,22,False
2020-01-05,27,False
2020-01-12,36,False
2020-01-19,37,False
2020-01-26,38,False
2020-02-02,40,False
2020-02-09,43,False
2020-02-16,36,False
2020-02-23,45,False
2020-03-01,42,False
2020-03-08,60,False
2020-03-15,41,False
2020-03-22,32,False
2020-03-29,24,False
2020-04-05,24,False
2020-04-12,24,False
2020-04-19,24,False
2020-04-26,31,False
2020-05-03,24,False
2020-05-10,29,False
2020-05-17,28,False
2020-05-24,32,False
2020-05-31,30,False
2020-06-07,30,False
2020-06-14,25,False
2020-06-21,31,False
2020-06-28,26,False
2020-07-05,30,False
2020-07-12,32,False
2020-07-19,36,False
2020-07-26,30,False
2020-08-02,33,False
2020-08-09,31,False
2020-08-16,30,False
2020-08-23,30,False
2020-08-30,36,False
2020-09-06,32,False
2020-09-13,28,False
2020-09-20,30,False
2020-09-27,22,False
2020-10-04,22,False
2020-10-11,26,False
2020-10-18,25,False
2020-10-25,25,False
2020-11-01,23,False
2020-11-08,21,False
2020-11-15,23,False
2020-11-22,21,False
2020-11-29,23,False
2020-12-06,22,False
2020-12-13,22,False
2020-12-20,14,False
2020-12-27,13,False
2021-01-03,39,False
2021-01-10,31,False
2021-01-17,29,False
2021-01-24,31,False
2021-01-31,34,False
2021-02-07,28,False
2021-02-14,27,False
2021-02-21,22,False
2021-02-28,26,False
2021-03-07,23,False
2021-03-14,22,False
2021-03-21,22,False
2021-03-28,25,False
2021-04-04,25,False
2021-04-11,22,False
2021-04-18,24,False
2021-04-25,24,False
2021-05-02,24,False
2021-05-09,21,False
2021-05-16,26,False
2021-05-23,23,False
2021-05-30,24,False
2021-06-06,30,False
2021-06-13,27,False
2021-06-20,29,False
2021-06-27,26,False
2021-07-04,28,False
2021-07-11,29,False
2021-07-18,26,False
2021-07-25,30,False
2021-08-01,30,False
2021-08-08,27,True
