date,RCL,isPartial
2018-07-29,24,False
2018-08-05,24,False
2018-08-12,22,False
2018-08-19,23,False
2018-08-26,24,False
2018-09-02,21,False
2018-09-09,18,False
2018-09-16,18,False
2018-09-23,23,False
2018-09-30,18,False
2018-10-07,20,False
2018-10-14,16,False
2018-10-21,23,False
2018-10-28,19,False
2018-11-04,21,False
2018-11-11,21,False
2018-11-18,16,False
2018-11-25,20,False
2018-12-02,21,False
2018-12-09,19,False
2018-12-16,18,False
2018-12-23,16,False
2018-12-30,19,False
2019-01-06,25,False
2019-01-13,22,False
2019-01-20,21,False
2019-01-27,26,False
2019-02-03,21,False
2019-02-10,22,False
2019-02-17,20,False
2019-02-24,24,False
2019-03-03,21,False
2019-03-10,19,False
2019-03-17,19,False
2019-03-24,21,False
2019-03-31,22,False
2019-04-07,20,False
2019-04-14,21,False
2019-04-21,20,False
2019-04-28,18,False
2019-05-05,19,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,27,False
2019-06-02,25,False
2019-06-09,20,False
2019-06-16,22,False
2019-06-23,22,False
2019-06-30,21,False
2019-07-07,21,False
2019-07-14,21,False
2019-07-21,21,False
2019-07-28,17,False
2019-08-04,20,False
2019-08-11,20,False
2019-08-18,23,False
2019-08-25,25,False
2019-09-01,23,False
2019-09-08,20,False
2019-09-15,18,False
2019-09-22,24,False
2019-09-29,20,False
2019-10-06,21,False
2019-10-13,18,False
2019-10-20,20,False
2019-10-27,21,False
2019-11-03,23,False
2019-11-10,20,False
2019-11-17,21,False
2019-11-24,21,False
2019-12-01,21,False
2019-12-08,22,False
2019-12-15,21,False
2019-12-22,15,False
2019-12-29,19,False
2020-01-05,20,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,24,False
2020-02-02,27,False
2020-02-09,26,False
2020-02-16,25,False
2020-02-23,35,False
2020-03-01,43,False
2020-03-08,100,False
2020-03-15,87,False
2020-03-22,98,False
2020-03-29,87,False
2020-04-05,78,False
2020-04-12,81,False
2020-04-19,54,False
2020-04-26,70,False
2020-05-03,63,False
2020-05-10,56,False
2020-05-17,62,False
2020-05-24,57,False
2020-05-31,69,False
2020-06-07,81,False
2020-06-14,64,False
2020-06-21,53,False
2020-06-28,43,False
2020-07-05,46,False
2020-07-12,57,False
2020-07-19,36,False
2020-07-26,34,False
2020-08-02,38,False
2020-08-09,47,False
2020-08-16,35,False
2020-08-23,42,False
2020-08-30,41,False
2020-09-06,36,False
2020-09-13,31,False
2020-09-20,34,False
2020-09-27,36,False
2020-10-04,33,False
2020-10-11,35,False
2020-10-18,34,False
2020-10-25,31,False
2020-11-01,30,False
2020-11-08,44,False
2020-11-15,39,False
2020-11-22,33,False
2020-11-29,39,False
2020-12-06,34,False
2020-12-13,31,False
2020-12-20,27,False
2020-12-27,25,False
2021-01-03,31,False
2021-01-10,28,False
2021-01-17,27,False
2021-01-24,31,False
2021-01-31,32,False
2021-02-07,25,False
2021-02-14,25,False
2021-02-21,40,False
2021-02-28,42,False
2021-03-07,31,False
2021-03-14,32,False
2021-03-21,31,False
2021-03-28,31,False
2021-04-04,35,False
2021-04-11,33,False
2021-04-18,32,False
2021-04-25,30,False
2021-05-02,34,False
2021-05-09,32,False
2021-05-16,31,False
2021-05-23,34,False
2021-05-30,28,False
2021-06-06,35,False
2021-06-13,29,False
2021-06-20,32,False
2021-06-27,31,False
2021-07-04,27,False
2021-07-11,29,False
2021-07-18,31,False
2021-07-25,27,False
2021-08-01,27,False
2021-08-08,28,True
