date,CTVA,isPartial
2018-11-25,14,False
2018-12-02,0,False
2018-12-09,4,False
2018-12-16,4,False
2018-12-23,4,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,4,False
2019-01-20,7,False
2019-01-27,4,False
2019-02-03,4,False
2019-02-10,11,False
2019-02-17,11,False
2019-02-24,18,False
2019-03-03,0,False
2019-03-10,4,False
2019-03-17,7,False
2019-03-24,7,False
2019-03-31,4,False
2019-04-07,7,False
2019-04-14,8,False
2019-04-21,7,False
2019-04-28,11,False
2019-05-05,11,False
2019-05-12,4,False
2019-05-19,4,False
2019-05-26,18,False
2019-06-02,100,False
2019-06-09,42,False
2019-06-16,29,False
2019-06-23,36,False
2019-06-30,25,False
2019-07-07,32,False
2019-07-14,18,False
2019-07-21,38,False
2019-07-28,37,False
2019-08-04,22,False
2019-08-11,11,False
2019-08-18,22,False
2019-08-25,18,False
2019-09-01,10,False
2019-09-08,20,False
2019-09-15,27,False
2019-09-22,13,False
2019-09-29,14,False
2019-10-06,41,False
2019-10-13,27,False
2019-10-20,23,False
2019-10-27,30,False
2019-11-03,57,False
2019-11-10,23,False
2019-11-17,24,False
2019-11-24,10,False
2019-12-01,27,False
2019-12-08,20,False
2019-12-15,14,False
2019-12-22,7,False
2019-12-29,21,False
2020-01-05,26,False
2020-01-12,9,False
2020-01-19,26,False
2020-01-26,29,False
2020-02-02,19,False
2020-02-09,19,False
2020-02-16,13,False
2020-02-23,25,False
2020-03-01,16,False
2020-03-08,21,False
2020-03-15,24,False
2020-03-22,18,False
2020-03-29,20,False
2020-04-05,18,False
2020-04-12,18,False
2020-04-19,17,False
2020-04-26,17,False
2020-05-03,23,False
2020-05-10,12,False
2020-05-17,12,False
2020-05-24,9,False
2020-05-31,14,False
2020-06-07,18,False
2020-06-14,15,False
2020-06-21,15,False
2020-06-28,28,False
2020-07-05,19,False
2020-07-12,16,False
2020-07-19,6,False
2020-07-26,19,False
2020-08-02,32,False
2020-08-09,9,False
2020-08-16,6,False
2020-08-23,31,False
2020-08-30,15,False
2020-09-06,9,False
2020-09-13,12,False
2020-09-20,12,False
2020-09-27,3,False
2020-10-04,28,False
2020-10-11,10,False
2020-10-18,10,False
2020-10-25,16,False
2020-11-01,18,False
2020-11-08,29,False
2020-11-15,19,False
2020-11-22,16,False
2020-11-29,22,False
2020-12-06,13,False
2020-12-13,10,False
2020-12-20,11,False
2020-12-27,14,False
2021-01-03,23,False
2021-01-10,16,False
2021-01-17,22,False
2021-01-24,13,False
2021-01-31,19,False
2021-02-07,16,False
2021-02-14,32,False
2021-02-21,22,False
2021-02-28,13,False
2021-03-07,22,False
2021-03-14,9,False
2021-03-21,16,False
2021-03-28,24,False
2021-04-04,16,False
2021-04-11,29,False
2021-04-18,10,False
2021-04-25,19,False
2021-05-02,42,False
2021-05-09,13,False
2021-05-16,26,False
2021-05-23,0,False
2021-05-30,7,False
2021-06-06,20,False
2021-06-13,16,False
2021-06-20,16,False
2021-06-27,7,False
2021-07-04,20,False
2021-07-11,10,False
2021-07-18,10,False
2021-07-25,13,False
2021-08-01,37,False
2021-08-08,23,True
