date,MSFT,isPartial
2018-06-03,32,False
2018-06-10,22,False
2018-06-17,19,False
2018-06-24,18,False
2018-07-01,14,False
2018-07-08,23,False
2018-07-15,43,False
2018-07-22,36,False
2018-07-29,28,False
2018-08-05,24,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,27,False
2018-09-02,21,False
2018-09-09,22,False
2018-09-16,26,False
2018-09-23,21,False
2018-09-30,22,False
2018-10-07,28,False
2018-10-14,27,False
2018-10-21,48,False
2018-10-28,30,False
2018-11-04,26,False
2018-11-11,20,False
2018-11-18,22,False
2018-11-25,31,False
2018-12-02,26,False
2018-12-09,23,False
2018-12-16,27,False
2018-12-23,25,False
2018-12-30,25,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,22,False
2019-01-27,38,False
2019-02-03,24,False
2019-02-10,19,False
2019-02-17,18,False
2019-02-24,24,False
2019-03-03,18,False
2019-03-10,22,False
2019-03-17,27,False
2019-03-24,19,False
2019-03-31,22,False
2019-04-07,21,False
2019-04-14,22,False
2019-04-21,57,False
2019-04-28,32,False
2019-05-05,29,False
2019-05-12,28,False
2019-05-19,26,False
2019-05-26,19,False
2019-06-02,26,False
2019-06-09,22,False
2019-06-16,25,False
2019-06-23,25,False
2019-06-30,21,False
2019-07-07,26,False
2019-07-14,49,False
2019-07-21,29,False
2019-07-28,30,False
2019-08-04,28,False
2019-08-11,29,False
2019-08-18,25,False
2019-08-25,21,False
2019-09-01,19,False
2019-09-08,23,False
2019-09-15,28,False
2019-09-22,23,False
2019-09-29,26,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,51,False
2019-10-27,41,False
2019-11-03,27,False
2019-11-10,33,False
2019-11-17,33,False
2019-11-24,23,False
2019-12-01,26,False
2019-12-08,25,False
2019-12-15,28,False
2019-12-22,24,False
2019-12-29,27,False
2020-01-05,32,False
2020-01-12,38,False
2020-01-19,30,False
2020-01-26,59,False
2020-02-02,55,False
2020-02-09,71,False
2020-02-16,47,False
2020-02-23,83,False
2020-03-01,70,False
2020-03-08,90,False
2020-03-15,87,False
2020-03-22,70,False
2020-03-29,63,False
2020-04-05,53,False
2020-04-12,56,False
2020-04-19,51,False
2020-04-26,77,False
2020-05-03,54,False
2020-05-10,46,False
2020-05-17,42,False
2020-05-24,36,False
2020-05-31,39,False
2020-06-07,57,False
2020-06-14,48,False
2020-06-21,51,False
2020-06-28,43,False
2020-07-05,55,False
2020-07-12,57,False
2020-07-19,100,False
2020-07-26,67,False
2020-08-02,85,False
2020-08-09,59,False
2020-08-16,48,False
2020-08-23,68,False
2020-08-30,75,False
2020-09-06,59,False
2020-09-13,56,False
2020-09-20,54,False
2020-09-27,41,False
2020-10-04,40,False
2020-10-11,42,False
2020-10-18,33,False
2020-10-25,62,False
2020-11-01,41,False
2020-11-08,43,False
2020-11-15,35,False
2020-11-22,28,False
2020-11-29,30,False
2020-12-06,31,False
2020-12-13,32,False
2020-12-20,27,False
2020-12-27,27,False
2021-01-03,37,False
2021-01-10,29,False
2021-01-17,34,False
2021-01-24,77,False
2021-01-31,46,False
2021-02-07,37,False
2021-02-14,27,False
2021-02-21,35,False
2021-02-28,36,False
2021-03-07,36,False
2021-03-14,28,False
2021-03-21,27,False
2021-03-28,33,False
2021-04-04,39,False
2021-04-11,40,False
2021-04-18,33,False
2021-04-25,56,False
2021-05-02,32,False
2021-05-09,35,False
2021-05-16,30,False
2021-05-23,27,False
2021-05-30,24,False
2021-06-06,29,False
2021-06-13,28,False
2021-06-20,35,False
2021-06-27,33,False
2021-07-04,37,False
2021-07-11,33,False
2021-07-18,35,False
2021-07-25,48,False
2021-08-01,33,False
2021-08-08,29,True
