date,MCHP,isPartial
2018-05-20,20,False
2018-05-27,35,False
2018-06-03,37,False
2018-06-10,42,False
2018-06-17,26,False
2018-06-24,34,False
2018-07-01,23,False
2018-07-08,14,False
2018-07-15,21,False
2018-07-22,26,False
2018-07-29,20,False
2018-08-05,48,False
2018-08-12,72,False
2018-08-19,64,False
2018-08-26,17,False
2018-09-02,31,False
2018-09-09,22,False
2018-09-16,33,False
2018-09-23,31,False
2018-09-30,92,False
2018-10-07,39,False
2018-10-14,45,False
2018-10-21,59,False
2018-10-28,39,False
2018-11-04,55,False
2018-11-11,42,False
2018-11-18,31,False
2018-11-25,36,False
2018-12-02,36,False
2018-12-09,43,False
2018-12-16,23,False
2018-12-23,16,False
2018-12-30,55,False
2019-01-06,45,False
2019-01-13,36,False
2019-01-20,35,False
2019-01-27,46,False
2019-02-03,74,False
2019-02-10,58,False
2019-02-17,30,False
2019-02-24,35,False
2019-03-03,39,False
2019-03-10,33,False
2019-03-17,22,False
2019-03-24,33,False
2019-03-31,44,False
2019-04-07,36,False
2019-04-14,32,False
2019-04-21,40,False
2019-04-28,70,False
2019-05-05,53,False
2019-05-12,19,False
2019-05-19,52,False
2019-05-26,38,False
2019-06-02,49,False
2019-06-09,49,False
2019-06-16,66,False
2019-06-23,44,False
2019-06-30,25,False
2019-07-07,33,False
2019-07-14,42,False
2019-07-21,46,False
2019-07-28,51,False
2019-08-04,53,False
2019-08-11,42,False
2019-08-18,38,False
2019-08-25,43,False
2019-09-01,43,False
2019-09-08,47,False
2019-09-15,63,False
2019-09-22,42,False
2019-09-29,26,False
2019-10-06,31,False
2019-10-13,39,False
2019-10-20,18,False
2019-10-27,34,False
2019-11-03,59,False
2019-11-10,44,False
2019-11-17,54,False
2019-11-24,45,False
2019-12-01,80,False
2019-12-08,37,False
2019-12-15,55,False
2019-12-22,28,False
2019-12-29,27,False
2020-01-05,55,False
2020-01-12,26,False
2020-01-19,40,False
2020-01-26,47,False
2020-02-02,57,False
2020-02-09,58,False
2020-02-16,19,False
2020-02-23,59,False
2020-03-01,63,False
2020-03-08,70,False
2020-03-15,57,False
2020-03-22,45,False
2020-03-29,44,False
2020-04-05,45,False
2020-04-12,40,False
2020-04-19,26,False
2020-04-26,33,False
2020-05-03,44,False
2020-05-10,38,False
2020-05-17,36,False
2020-05-24,41,False
2020-05-31,100,False
2020-06-07,56,False
2020-06-14,41,False
2020-06-21,35,False
2020-06-28,21,False
2020-07-05,34,False
2020-07-12,48,False
2020-07-19,37,False
2020-07-26,52,False
2020-08-02,51,False
2020-08-09,41,False
2020-08-16,55,False
2020-08-23,35,False
2020-08-30,60,False
2020-09-06,33,False
2020-09-13,9,False
2020-09-20,16,False
2020-09-27,26,False
2020-10-04,28,False
2020-10-11,30,False
2020-10-18,15,False
2020-10-25,25,False
2020-11-01,40,False
2020-11-08,27,False
2020-11-15,67,False
2020-11-22,35,False
2020-11-29,36,False
2020-12-06,42,False
2020-12-13,34,False
2020-12-20,16,False
2020-12-27,21,False
2021-01-03,43,False
2021-01-10,47,False
2021-01-17,27,False
2021-01-24,59,False
2021-01-31,51,False
2021-02-07,39,False
2021-02-14,37,False
2021-02-21,58,False
2021-02-28,54,False
2021-03-07,54,False
2021-03-14,27,False
2021-03-21,32,False
2021-03-28,36,False
2021-04-04,27,False
2021-04-11,22,False
2021-04-18,27,False
2021-04-25,31,False
2021-05-02,27,False
2021-05-09,30,False
2021-05-16,27,False
2021-05-23,15,False
2021-05-30,15,False
2021-06-06,40,False
2021-06-13,25,False
2021-06-20,20,False
2021-06-27,23,False
2021-07-04,28,False
2021-07-11,43,False
2021-07-18,32,False
2021-07-25,23,False
2021-08-01,51,False
2021-08-08,36,True
