date,ROK,isPartial
2021-04-04,28,False
2021-04-11,29,False
2021-04-18,29,False
2021-04-25,30,False
2021-05-02,29,False
2021-05-09,26,False
2021-05-16,26,False
2021-05-23,26,False
2021-05-30,25,False
2021-06-06,28,False
2021-06-13,26,False
2021-06-20,26,False
2021-06-27,24,False
2021-07-04,24,False
2021-07-11,23,False
2021-07-18,24,False
2021-07-25,24,False
2021-08-01,25,False
2021-08-08,25,True
