date,CCL,isPartial
2019-11-24,18,False
2019-12-01,20,False
2019-12-08,16,False
2019-12-15,16,False
2019-12-22,13,False
2019-12-29,18,False
2020-01-05,19,False
2020-01-12,22,False
2020-01-19,19,False
2020-01-26,18,False
2020-02-02,22,False
2020-02-09,23,False
2020-02-16,23,False
2020-02-23,36,False
2020-03-01,40,False
2020-03-08,72,False
2020-03-15,73,False
2020-03-22,77,False
2020-03-29,88,False
2020-04-05,100,False
2020-04-12,82,False
2020-04-19,61,False
2020-04-26,83,False
2020-05-03,75,False
2020-05-10,65,False
2020-05-17,62,False
2020-05-24,64,False
2020-05-31,75,False
2020-06-07,100,False
2020-06-14,69,False
2020-06-21,63,False
2020-06-28,49,False
2020-07-05,51,False
2020-07-12,55,False
2020-07-19,49,False
2020-07-26,45,False
2020-08-02,41,False
2020-08-09,43,False
2020-08-16,39,False
2020-08-23,46,False
2020-08-30,43,False
2020-09-06,44,False
2020-09-13,48,False
2020-09-20,43,False
2020-09-27,40,False
2020-10-04,36,False
2020-10-11,39,False
2020-10-18,36,False
2020-10-25,41,False
2020-11-01,35,False
2020-11-08,60,False
2020-11-15,52,False
2020-11-22,48,False
2020-11-29,54,False
2020-12-06,57,False
2020-12-13,47,False
2020-12-20,42,False
2020-12-27,35,False
2021-01-03,39,False
2021-01-10,40,False
2021-01-17,33,False
2021-01-24,44,False
2021-01-31,45,False
2021-02-07,38,False
2021-02-14,42,False
2021-02-21,60,False
2021-02-28,53,False
2021-03-07,50,False
2021-03-14,48,False
2021-03-21,45,False
2021-03-28,39,False
2021-04-04,51,False
2021-04-11,40,False
2021-04-18,36,False
2021-04-25,37,False
2021-05-02,38,False
2021-05-09,38,False
2021-05-16,38,False
2021-05-23,40,False
2021-05-30,37,False
2021-06-06,39,False
2021-06-13,37,False
2021-06-20,39,False
2021-06-27,40,False
2021-07-04,38,False
2021-07-11,40,False
2021-07-18,48,False
2021-07-25,38,False
2021-08-01,36,False
2021-08-08,40,True
