date,VRSN,isPartial
2019-12-08,22,False
2019-12-15,33,False
2019-12-22,70,False
2019-12-29,34,False
2020-01-05,41,False
2020-01-12,69,False
2020-01-19,10,False
2020-01-26,31,False
2020-02-02,82,False
2020-02-09,100,False
2020-02-16,30,False
2020-02-23,20,False
2020-03-01,58,False
2020-03-08,87,False
2020-03-15,38,False
2020-03-22,74,False
2020-03-29,27,False
2020-04-05,37,False
2020-04-12,55,False
2020-04-19,54,False
2020-04-26,36,False
2020-05-03,27,False
2020-05-10,37,False
2020-05-17,84,False
2020-05-24,9,False
2020-05-31,46,False
2020-06-07,65,False
2020-06-14,19,False
2020-06-21,38,False
2020-06-28,10,False
2020-07-05,30,False
2020-07-12,20,False
2020-07-19,41,False
2020-07-26,21,False
2020-08-02,10,False
2020-08-09,10,False
2020-08-16,79,False
2020-08-23,10,False
2020-08-30,29,False
2020-09-06,10,False
2020-09-13,57,False
2020-09-20,19,False
2020-09-27,39,False
2020-10-04,10,False
2020-10-11,62,False
2020-10-18,31,False
2020-10-25,31,False
2020-11-01,10,False
2020-11-08,10,False
2020-11-15,20,False
2020-11-22,10,False
2020-11-29,20,False
2020-12-06,10,False
2020-12-13,30,False
2020-12-20,11,False
2020-12-27,0,False
2021-01-03,20,False
2021-01-10,41,False
2021-01-17,30,False
2021-01-24,20,False
2021-01-31,41,False
2021-02-07,90,False
2021-02-14,31,False
2021-02-21,20,False
2021-02-28,10,False
2021-03-07,10,False
2021-03-14,28,False
2021-03-21,10,False
2021-03-28,11,False
2021-04-04,10,False
2021-04-11,10,False
2021-04-18,10,False
2021-04-25,20,False
2021-05-02,20,False
2021-05-09,0,False
2021-05-16,51,False
2021-05-23,41,False
2021-05-30,21,False
2021-06-06,41,False
2021-06-13,21,False
2021-06-20,31,False
2021-06-27,52,False
2021-07-04,21,False
2021-07-11,21,False
2021-07-18,0,False
2021-07-25,11,False
2021-08-01,21,False
2021-08-08,37,True
