date,CZR,isPartial
2018-09-30,21,False
2018-10-07,12,False
2018-10-14,28,False
2018-10-21,35,False
2018-10-28,27,False
2018-11-04,29,False
2018-11-11,7,False
2018-11-18,16,False
2018-11-25,17,False
2018-12-02,26,False
2018-12-09,29,False
2018-12-16,21,False
2018-12-23,21,False
2018-12-30,19,False
2019-01-06,35,False
2019-01-13,28,False
2019-01-20,25,False
2019-01-27,29,False
2019-02-03,26,False
2019-02-10,39,False
2019-02-17,26,False
2019-02-24,25,False
2019-03-03,12,False
2019-03-10,27,False
2019-03-17,34,False
2019-03-24,25,False
2019-03-31,28,False
2019-04-07,41,False
2019-04-14,35,False
2019-04-21,21,False
2019-04-28,26,False
2019-05-05,26,False
2019-05-12,24,False
2019-05-19,31,False
2019-05-26,17,False
2019-06-02,37,False
2019-06-09,38,False
2019-06-16,31,False
2019-06-23,65,False
2019-06-30,24,False
2019-07-07,19,False
2019-07-14,19,False
2019-07-21,17,False
2019-07-28,16,False
2019-08-04,22,False
2019-08-11,19,False
2019-08-18,17,False
2019-08-25,12,False
2019-09-01,18,False
2019-09-08,15,False
2019-09-15,11,False
2019-09-22,14,False
2019-09-29,18,False
2019-10-06,18,False
2019-10-13,17,False
2019-10-20,18,False
2019-10-27,15,False
2019-11-03,15,False
2019-11-10,16,False
2019-11-17,14,False
2019-11-24,10,False
2019-12-01,20,False
2019-12-08,15,False
2019-12-15,19,False
2019-12-22,12,False
2019-12-29,8,False
2020-01-05,15,False
2020-01-12,28,False
2020-01-19,13,False
2020-01-26,17,False
2020-02-02,20,False
2020-02-09,19,False
2020-02-16,11,False
2020-02-23,22,False
2020-03-01,24,False
2020-03-08,35,False
2020-03-15,65,False
2020-03-22,72,False
2020-03-29,70,False
2020-04-05,27,False
2020-04-12,48,False
2020-04-19,39,False
2020-04-26,39,False
2020-05-03,34,False
2020-05-10,44,False
2020-05-17,39,False
2020-05-24,35,False
2020-05-31,66,False
2020-06-07,45,False
2020-06-14,35,False
2020-06-21,26,False
2020-06-28,25,False
2020-07-05,35,False
2020-07-12,19,False
2020-07-19,100,False
2020-07-26,75,False
2020-08-02,70,False
2020-08-09,72,False
2020-08-16,51,False
2020-08-23,69,False
2020-08-30,52,False
2020-09-06,38,False
2020-09-13,54,False
2020-09-20,38,False
2020-09-27,58,False
2020-10-04,56,False
2020-10-11,30,False
2020-10-18,30,False
2020-10-25,46,False
2020-11-01,42,False
2020-11-08,38,False
2020-11-15,48,False
2020-11-22,28,False
2020-11-29,29,False
2020-12-06,28,False
2020-12-13,36,False
2020-12-20,34,False
2020-12-27,38,False
2021-01-03,40,False
2021-01-10,25,False
2021-01-17,37,False
2021-01-24,32,False
2021-01-31,38,False
2021-02-07,37,False
2021-02-14,33,False
2021-02-21,31,False
2021-02-28,46,False
2021-03-07,47,False
2021-03-14,50,False
2021-03-21,31,False
2021-03-28,41,False
2021-04-04,44,False
2021-04-11,47,False
2021-04-18,30,False
2021-04-25,41,False
2021-05-02,30,False
2021-05-09,27,False
2021-05-16,61,False
2021-05-23,46,False
2021-05-30,31,False
2021-06-06,35,False
2021-06-13,42,False
2021-06-20,40,False
2021-06-27,52,False
2021-07-04,34,False
2021-07-11,38,False
2021-07-18,20,False
2021-07-25,31,False
2021-08-01,42,False
2021-08-08,29,True
