date,DAL,isPartial
2018-11-11,46,False
2018-11-18,48,False
2018-11-25,48,False
2018-12-02,50,False
2018-12-09,48,False
2018-12-16,44,False
2018-12-23,47,False
2018-12-30,49,False
2019-01-06,48,False
2019-01-13,50,False
2019-01-20,51,False
2019-01-27,52,False
2019-02-03,50,False
2019-02-10,52,False
2019-02-17,53,False
2019-02-24,49,False
2019-03-03,47,False
2019-03-10,48,False
2019-03-17,51,False
2019-03-24,50,False
2019-03-31,49,False
2019-04-07,50,False
2019-04-14,48,False
2019-04-21,48,False
2019-04-28,47,False
2019-05-05,48,False
2019-05-12,46,False
2019-05-19,51,False
2019-05-26,48,False
2019-06-02,45,False
2019-06-09,47,False
2019-06-16,47,False
2019-06-23,45,False
2019-06-30,46,False
2019-07-07,49,False
2019-07-14,47,False
2019-07-21,46,False
2019-07-28,47,False
2019-08-04,48,False
2019-08-11,46,False
2019-08-18,47,False
2019-08-25,49,False
2019-09-01,46,False
2019-09-08,54,False
2019-09-15,49,False
2019-09-22,50,False
2019-09-29,49,False
2019-10-06,49,False
2019-10-13,51,False
2019-10-20,50,False
2019-10-27,49,False
2019-11-03,51,False
2019-11-10,49,False
2019-11-17,51,False
2019-11-24,49,False
2019-12-01,45,False
2019-12-08,45,False
2019-12-15,44,False
2019-12-22,45,False
2019-12-29,46,False
2020-01-05,49,False
2020-01-12,49,False
2020-01-19,49,False
2020-01-26,51,False
2020-02-02,48,False
2020-02-09,48,False
2020-02-16,48,False
2020-02-23,53,False
2020-03-01,55,False
2020-03-08,61,False
2020-03-15,67,False
2020-03-22,72,False
2020-03-29,65,False
2020-04-05,70,False
2020-04-12,71,False
2020-04-19,78,False
2020-04-26,100,False
2020-05-03,84,False
2020-05-10,76,False
2020-05-17,68,False
2020-05-24,67,False
2020-05-31,66,False
2020-06-07,63,False
2020-06-14,56,False
2020-06-21,55,False
2020-06-28,56,False
2020-07-05,54,False
2020-07-12,55,False
2020-07-19,51,False
2020-07-26,52,False
2020-08-02,50,False
2020-08-09,51,False
2020-08-16,50,False
2020-08-23,54,False
2020-08-30,50,False
2020-09-06,49,False
2020-09-13,48,False
2020-09-20,50,False
2020-09-27,50,False
2020-10-04,49,False
2020-10-11,50,False
2020-10-18,50,False
2020-10-25,50,False
2020-11-01,51,False
2020-11-08,56,False
2020-11-15,54,False
2020-11-22,53,False
2020-11-29,61,False
2020-12-06,58,False
2020-12-13,58,False
2020-12-20,57,False
2020-12-27,59,False
2021-01-03,65,False
2021-01-10,63,False
2021-01-17,55,False
2021-01-24,55,False
2021-01-31,54,False
2021-02-07,56,False
2021-02-14,54,False
2021-02-21,55,False
2021-02-28,53,False
2021-03-07,58,False
2021-03-14,57,False
2021-03-21,53,False
2021-03-28,58,False
2021-04-04,57,False
2021-04-11,58,False
2021-04-18,68,False
2021-04-25,58,False
2021-05-02,54,False
2021-05-09,58,False
2021-05-16,56,False
2021-05-23,53,False
2021-05-30,56,False
2021-06-06,52,False
2021-06-13,47,False
2021-06-20,47,False
2021-06-27,50,False
2021-07-04,49,False
2021-07-11,48,False
2021-07-18,51,False
2021-07-25,50,False
2021-08-01,51,False
2021-08-08,51,True
