date,TRV,isPartial
2019-01-13,69,False
2019-01-20,79,False
2019-01-27,61,False
2019-02-03,64,False
2019-02-10,63,False
2019-02-17,76,False
2019-02-24,64,False
2019-03-03,68,False
2019-03-10,65,False
2019-03-17,68,False
2019-03-24,70,False
2019-03-31,65,False
2019-04-07,67,False
2019-04-14,64,False
2019-04-21,64,False
2019-04-28,76,False
2019-05-05,62,False
2019-05-12,62,False
2019-05-19,61,False
2019-05-26,59,False
2019-06-02,62,False
2019-06-09,71,False
2019-06-16,63,False
2019-06-23,67,False
2019-06-30,63,False
2019-07-07,65,False
2019-07-14,60,False
2019-07-21,69,False
2019-07-28,68,False
2019-08-04,62,False
2019-08-11,69,False
2019-08-18,62,False
2019-08-25,73,False
2019-09-01,52,False
2019-09-08,72,False
2019-09-15,66,False
2019-09-22,69,False
2019-09-29,67,False
2019-10-06,71,False
2019-10-13,79,False
2019-10-20,76,False
2019-10-27,82,False
2019-11-03,75,False
2019-11-10,96,False
2019-11-17,100,False
2019-11-24,74,False
2019-12-01,72,False
2019-12-08,78,False
2019-12-15,72,False
2019-12-22,54,False
2019-12-29,70,False
2020-01-05,72,False
2020-01-12,71,False
2020-01-19,79,False
2020-01-26,71,False
2020-02-02,77,False
2020-02-09,71,False
2020-02-16,64,False
2020-02-23,66,False
2020-03-01,72,False
2020-03-08,69,False
2020-03-15,67,False
2020-03-22,54,False
2020-03-29,47,False
2020-04-05,38,False
2020-04-12,44,False
2020-04-19,52,False
2020-04-26,46,False
2020-05-03,40,False
2020-05-10,41,False
2020-05-17,49,False
2020-05-24,52,False
2020-05-31,55,False
2020-06-07,75,False
2020-06-14,57,False
2020-06-21,56,False
2020-06-28,57,False
2020-07-05,57,False
2020-07-12,56,False
2020-07-19,65,False
2020-07-26,50,False
2020-08-02,61,False
2020-08-09,61,False
2020-08-16,54,False
2020-08-23,55,False
2020-08-30,63,False
2020-09-06,53,False
2020-09-13,52,False
2020-09-20,75,False
2020-09-27,72,False
2020-10-04,58,False
2020-10-11,69,False
2020-10-18,76,False
2020-10-25,70,False
2020-11-01,70,False
2020-11-08,59,False
2020-11-15,76,False
2020-11-22,64,False
2020-11-29,82,False
2020-12-06,71,False
2020-12-13,68,False
2020-12-20,56,False
2020-12-27,69,False
2021-01-03,80,False
2021-01-10,72,False
2021-01-17,75,False
2021-01-24,69,False
2021-01-31,68,False
2021-02-07,72,False
2021-02-14,55,False
2021-02-21,64,False
2021-02-28,59,False
2021-03-07,49,False
2021-03-14,63,False
2021-03-21,62,False
2021-03-28,63,False
2021-04-04,55,False
2021-04-11,50,False
2021-04-18,56,False
2021-04-25,64,False
2021-05-02,56,False
2021-05-09,53,False
2021-05-16,56,False
2021-05-23,53,False
2021-05-30,57,False
2021-06-06,62,False
2021-06-13,65,False
2021-06-20,65,False
2021-06-27,51,False
2021-07-04,60,False
2021-07-11,65,False
2021-07-18,55,False
2021-07-25,65,False
2021-08-01,67,False
2021-08-08,69,True
